minute,type,player,assist,side
3,goal,Nestor Arnould,,left
3,shot_saved,,,right
7,shot_saved,,,right
8,goal,Maxence Jonckheere,Hugo Dumay,left
9,save,Louis Burgraff,,left
14,save,Louis Burgraff,,left
15,goal,Robin Lambert,,left
24,post,Tiago Wauthia,,left
30,goal,,,,right
31,goal,Nestor Arnould,,left
31,goal,,,,right
33,goal,Maxence Jonckheere,,left
36,goal,Maxence Jonckheere,Nathan Blyweert Doumont,left
37,save,Louis Burgraff,,left
44,goal,,,,right
48,shot_off_target,Nathan Blyweert Doumont,,left
49,goal,Robin Lambert,Nestor Arnould,left
